0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.062060285,0.131017,0.16989616,-0.023116684,-0.18587121,-0.0050826455,0.23396887,0.18054971,0.11776249,0.5325608,0.94647664,0.86804086,1.0579823,1.7786276,2.152275,3.1137264,5.5421143,4.7578793,-3.3965797,-12.358285,-12.723111,-6.5249863,-2.183455,-1.4247004,-1.0382268,-0.28423,0.084668554,0.46190408,1.1827446,1.8629602,2.4062262,2.8707771,2.9309788,2.4506416,1.7729372,1.1775477,0.7342444,0.5274433,0.6133825,0.88639474,1.0765444,1.0660316,0.9117475,0.72585696,0.6519805,0.6355991,0.4658604,0.20914733,0.12738197,0.15711299
0.08805391,0.07861272,0.2797258,0.47202426,0.4308122,0.34230176,0.47932464,0.56303114,0.42087024,0.49872357,0.7549268,0.82054657,1.2711657,2.0648365,1.8756799,2.2557552,5.5321035,6.1898828,-2.6943207,-14.119024,-15.446819,-8.201698,-2.8937824,-1.9569924,-1.3971238,-0.33286798,0.14311194,0.53612626,1.3120419,2.063469,2.6422162,3.1707547,3.4145288,3.063767,2.2700422,1.522814,1.1991223,1.1836236,1.1900555,1.1782517,1.2187663,1.2756948,1.2379048,1.1118844,0.9654107,0.8155446,0.60571456,0.28860274,0.012971471,-0.12017408
0.33575258,0.45326278,0.520412,0.4611317,0.364662,0.45213854,0.7062788,0.7688511,0.64360106,0.8208581,1.1723905,1.253896,1.6766738,2.552601,2.5650778,3.0427747,6.150811,6.381703,-3.3175416,-15.853455,-17.762426,-10.164354,-4.1131945,-2.5816865,-1.7037435,-0.50324297,0.14276676,0.78888196,1.7566925,2.5465117,3.1259756,3.6781397,3.9496965,3.696038,2.9069037,1.9013935,1.2117058,1.0635729,1.2013553,1.3451648,1.3263619,1.2121708,1.1617161,1.1810049,1.049697,0.7751744,0.59232086,0.4398552,0.1521216,-0.16401577
1.1470144,1.0572724,1.1940337,1.658548,1.9851042,2.085297,2.245957,2.3418427,2.2760813,2.211904,2.2093706,2.3009572,2.7731888,3.472634,3.6603436,3.1796837,2.1612544,-0.6994939,-6.038,-10.850409,-11.758013,-9.509736,-6.9447365,-5.1022463,-3.6148655,-2.3897588,-1.4901677,-0.6935965,0.020606447,0.68490857,1.1127663,1.2494569,1.3077025,1.3701519,1.5288314,1.9091126,2.4508667,2.6888444,2.3868413,1.7189176,1.2319086,1.37744,1.6671989,1.5908505,1.4703696,1.5941235,1.3977427,0.8902609,0.9492472,1.2991362
1.6741745,1.8098694,1.8011087,1.7518457,1.8837653,2.0682478,2.1185145,2.1339912,2.1725447,2.1009822,2.004828,2.0636208,2.1548507,2.0218506,1.582413,0.5529921,-1.4585547,-4.3660126,-7.4561644,-9.808267,-10.497072,-9.068022,-6.406463,-4.0985985,-2.6308386,-1.3351524,-0.015314734,0.9213194,1.3776965,1.5522939,1.5907965,1.6374121,1.8399242,2.1843357,2.4488184,2.3876796,2.0446548,1.7882037,1.7665671,1.6246895,1.3748795,1.403459,1.5345446,1.223229,0.716899,0.68115115,0.9235643,0.91497236,0.7577216,0.7269154
1.5683433,1.9707878,2.171273,2.388136,2.7660756,2.954315,2.7892156,2.5224214,2.3778827,2.2991962,2.2373693,2.271463,2.3979473,2.391945,2.0319238,1.0922498,-0.93479234,-4.2647233,-7.8922677,-10.316663,-11.02784,-10.441954,-9.155454,-7.490298,-5.4056067,-2.9800985,-0.9055487,0.3742629,1.261867,2.1126595,2.6848462,2.8798473,2.9153886,2.910554,2.871724,2.766788,2.5550659,2.3950028,2.5323164,2.8298717,2.8371918,2.5405917,2.2605467,2.1049984,1.8469598,1.469352,1.1997366,1.1249448,1.0661434,0.90792173
2.0261765,2.1300921,2.183218,2.2977262,2.4851706,2.6162808,2.7589812,3.0159166,3.221162,3.2309513,3.1338139,3.1427166,3.3092313,3.3923445,2.879261,1.6649302,-0.002566898,-2.6669347,-7.1965632,-12.389861,-15.148282,-14.203462,-11.330457,-8.552667,-6.2406025,-4.10117,-2.2459433,-0.8363476,0.32100713,1.3977156,2.2587712,2.7157342,2.837302,2.8949163,3.0169451,3.175073,3.1917114,3.0556476,2.966133,2.9415698,2.8076236,2.6082447,2.4512568,2.2532477,2.0023572,1.9270483,1.9726875,1.8070508,1.4710168,1.2352397
3.0519094,3.3753166,3.4916828,3.541972,3.6099877,3.8030658,4.1583977,4.3252087,4.209438,4.5329657,5.2382298,5.29373,5.106407,6.1234217,7.8276205,8.400377,5.7692976,-3.82234,-21.120533,-36.580368,-38.990913,-30.05241,-19.634405,-11.951771,-5.4988337,-0.2726187,2.727287,4.1418395,5.0777206,5.7188582,6.022127,6.1056776,5.9125915,5.5832777,5.4369745,5.4649734,5.4880614,5.432492,5.3506904,5.2311783,4.9705024,4.555569,4.033087,3.6758962,3.5481794,3.193095,2.3953254,1.6670969,1.5067605,1.489467
1.3201575,1.3366872,1.3387772,1.4007393,1.5489482,1.8418677,2.0171244,1.910062,1.8871261,2.2270591,2.498024,2.4602606,2.8286824,3.8690832,4.4400067,3.8198047,2.251988,-1.223607,-7.5361247,-13.652956,-15.041395,-11.782833,-7.753624,-5.001065,-2.9892664,-1.1217369,0.31260404,1.0308459,1.2676802,1.5714113,2.0136151,2.2760193,2.2853594,2.2261744,2.1035817,1.9383847,1.8616688,1.8193531,1.6921453,1.5242078,1.3177141,1.116645,1.1360832,1.3174845,1.3213627,1.0427872,0.8072715,0.7182261,0.6459103,0.5573354
1.0502077,1.1087128,1.2644414,1.4406288,1.6087985,1.7761387,1.884308,1.9201791,2.0192263,2.2258534,2.3798027,2.3970456,2.4261618,2.7333627,3.2671335,3.6679971,3.60122,1.8541613,-3.5224843,-11.434059,-16.445932,-15.004608,-9.743626,-5.072078,-2.2601135,-0.53636867,0.5581204,1.1703085,1.4212286,1.4079903,1.3515956,1.3907173,1.446287,1.4969326,1.5787482,1.6509821,1.7014138,1.7947775,1.8636857,1.8399478,1.8038123,1.7566276,1.5941786,1.4201369,1.3969072,1.4075899,1.2724549,1.0852624,0.910143,0.70501095
