0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,27,14,13,24,25,32,20,21,13,6,7,6,9,4,4,6,1,4,1,1,3,0,1,0,1,1,2,1,2,3,2,5,0,1,0,1,1,1,3,0,3,0,0,3,3,1,1,0,0,0,0,2,0,0,0,0,0,0,2,2,2,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,2,2,1,1,0,0,1,1
455,359,388,362,363,314,251,230,224,194,196,202,150,141,146,118,132,103,101,89,89,53,71,57,57,53,42,37,47,32,28,34,33,22,26,23,24,15,11,18,17,17,10,7,11,3,7,6,4,4,6,7,8,2,8,5,4,3,5,2,2,6,3,2,1,0,0,3,0,1,0,0,0,2,0,1,1,2,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1
1,3,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,18,7,10,16,26,31,48,55,56,72,49,48,42,37,30,25,22,17,11,21,12,8,11,14,9,13,9,11,7,13,4,5,4,8,3,2,2,6,5,1,5,7,1,0,4,0,5,3,1,0,1,3,2,1,0,1,2,1,0,0,0,0,2,0,2,0,4,0,1,1,0,0,0,0,0,1,1,0,3,0,1,1,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1
77,24,19,16,11,18,23,28,25,26,30,40,32,20,26,20,25,25,19,20,16,12,23,16,11,13,9,18,7,10,12,16,12,7,7,7,6,14,9,7,3,6,5,6,3,6,5,2,3,5,6,3,3,5,2,1,3,2,2,3,3,4,5,3,0,4,2,1,4,2,1,3,0,1,1,1,0,0,0,2,0,0,1,0,1,2,0,0,2,0,0,1,2,0,0,1,1,0,0,1
144,32,14,6,9,4,4,4,8,1,1,5,4,0,0,1,3,5,1,1,2,1,1,0,1,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
181,60,37,46,43,59,39,35,28,30,13,16,15,6,3,10,9,5,7,6,9,2,2,3,6,2,1,3,5,3,4,5,4,3,1,1,2,3,2,0,0,1,4,1,0,0,2,2,1,2,0,3,1,1,0,0,1,3,0,1,1,0,1,2,0,1,3,3,0,0,3,0,0,2,0,0,1,1,0,1,2,2,2,1,0,0,0,0,0,0,2,0,3,1,0,0,0,0,1,2
9,1312,773,607,409,289,181,167,106,90,70,45,39,27,23,36,27,11,26,20,17,12,12,13,7,11,7,9,7,7,10,7,5,6,8,8,7,10,13,7,6,11,10,13,13,18,17,29,19,15,27,25,34,25,41,59,37,50,49,55,56,54,44,65,65,68,64,59,60,51,51,55,48,49,33,37,32,25,28,23,16,17,10,7,8,4,3,3,3,1,1,1,0,0,0,2,0,0,0,2
8,5,6,9,20,27,39,42,56,55,47,43,55,51,41,64,55,44,50,65,58,55,49,47,53,54,32,62,50,53,50,46,62,59,65,58,48,52,58,68,47,55,49,44,38,48,39,40,41,25,39,42,28,31,19,23,16,12,13,15,10,16,14,7,9,14,7,8,8,6,3,2,3,3,4,3,2,4,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1
